catalog_id,group,ordinal,source_name,official_url,additional_official_urls,access_structure,audience_fields,policy_notes,recommendation,priority,implementation_status,connector_id,implementation_note,verification_status,verified_at,source_document
public_institutions:001,public_institutions,1,국립중앙박물관 · 서울 · 박물관,https://modu.museum.go.kr/learn?museum=1&searchApplyStatus=ONGOING,,"M: SSR 200, robots 허용, 목록 공개/신청 로그인, A, R1/R4, P0",유아/초등/가족/단체; 일정·접수·대상·비용·장소,"M: SSR 200, robots 허용, 목록 공개/신청 로그인, A, R1/R4, P0","M: SSR 200, robots 허용, 목록 공개/신청 로그인, A, R1/R4, P0",P0,implemented_opt_in,modu_museum_national_museum_korea,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:002,public_institutions,2,국립경주박물관 · 경북 경주 · 박물관,https://modu.museum.go.kr/learn?museum=2&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_gyeongju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:003,public_institutions,3,국립광주박물관 · 광주 · 박물관,https://modu.museum.go.kr/learn?museum=3&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,유아/초등/가족; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_gwangju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:004,public_institutions,4,국립전주박물관 · 전북 전주 · 박물관,https://modu.museum.go.kr/learn?museum=4&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_jeonju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:005,public_institutions,5,국립대구박물관 · 대구 · 박물관,https://modu.museum.go.kr/learn?museum=5&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,유아/초등/가족; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_daegu,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:006,public_institutions,6,국립부여박물관 · 충남 부여 · 박물관,https://modu.museum.go.kr/learn?museum=6&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_buyeo,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:007,public_institutions,7,국립공주박물관 · 충남 공주 · 박물관,https://modu.museum.go.kr/learn?museum=7&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_gongju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:008,public_institutions,8,국립진주박물관 · 경남 진주 · 박물관,https://modu.museum.go.kr/learn?museum=8&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,유아/초등/가족; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_jinju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:009,public_institutions,9,국립청주박물관 · 충북 청주 · 박물관,https://modu.museum.go.kr/learn?museum=9&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_cheongju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:010,public_institutions,10,국립김해박물관 · 경남 김해 · 박물관,https://modu.museum.go.kr/learn?museum=10&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,유아/초등/가족; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_gimhae,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:011,public_institutions,11,국립제주박물관 · 제주 · 박물관,https://modu.museum.go.kr/learn?museum=11&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_jeju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:012,public_institutions,12,국립춘천박물관 · 강원 춘천 · 박물관,https://modu.museum.go.kr/learn?museum=12&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,유아/초등/가족; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_chuncheon,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:013,public_institutions,13,국립나주박물관 · 전남 나주 · 박물관,https://modu.museum.go.kr/learn?museum=13&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_naju,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:014,public_institutions,14,국립익산박물관 · 전북 익산 · 박물관,https://modu.museum.go.kr/learn?museum=14&searchApplyStatus=ONGOING,,M · A · R1/R4 · P0,초등/가족/단체; 동일 필드,M · A · R1/R4 · P0,M · A · R1/R4 · P0,P0,implemented_opt_in,modu_museum_iksan,Shared MODU adapter; facts-only public list and runtime robots check.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:015,public_institutions,15,지리산국립공원 · 전북/전남/경남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B01,,"P: GET+공개 POST 200, robots 미게시, 예약 별도, A, R1/R4, P0",어린이/가족/전연령; 프로그램·집결지·운영기간·상태·비용,"P: GET+공개 POST 200, robots 미게시, 예약 별도, A, R1/R4, P0","P: GET+공개 POST 200, robots 미게시, 예약 별도, A, R1/R4, P0",P0,implemented_opt_in,knps_jirisan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:016,public_institutions,16,한려해상국립공원 · 경남/전남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B02,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_hallyeohaesang_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:017,public_institutions,17,설악산국립공원 · 강원,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B03,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_seoraksan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:018,public_institutions,18,내장산국립공원 · 전북/전남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B04,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_naejangsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:019,public_institutions,19,덕유산국립공원 · 전북/경남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B05,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_deogyusan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:020,public_institutions,20,오대산국립공원 · 강원,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B06,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_odaesan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:021,public_institutions,21,주왕산국립공원 · 경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B07,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_juwangsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:022,public_institutions,22,태안해안국립공원 · 충남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B08,,P · A · R1/R4 · P0,어린이/가족/해양생태; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_taeanhaean_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:023,public_institutions,23,다도해해상국립공원 · 전남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B09,,P · A · R1/R4 · P0,어린이/가족/해양생태; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_dadohaehaesang_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:024,public_institutions,24,치악산국립공원 · 강원,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B10,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_chiaksan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:025,public_institutions,25,월악산국립공원 · 충북/경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B11,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_woraksan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:026,public_institutions,26,소백산국립공원 · 충북/경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B12,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_sobaeksan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:027,public_institutions,27,가야산국립공원 · 경북/경남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B13,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_gayasan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:028,public_institutions,28,북한산국립공원 · 서울/경기,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B14,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_bukhansan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:029,public_institutions,29,경주국립공원 · 경북 경주,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B15,,P · A · R1/R4 · P0,어린이/가족/역사생태; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_gyeongju_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:030,public_institutions,30,계룡산국립공원 · 충남/대전,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B16,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_gyeryongsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:031,public_institutions,31,무등산국립공원 · 광주/전남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B17,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_mudeungsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:032,public_institutions,32,변산반도국립공원 · 전북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B18,,P · A · R1/R4 · P0,어린이/가족/해안생태; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_byeonsanbando_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:033,public_institutions,33,속리산국립공원 · 충북/경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B19,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_songnisan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:034,public_institutions,34,월출산국립공원 · 전남,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B20,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_wolchulsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:035,public_institutions,35,태백산국립공원 · 강원/경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B22,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_taebaeksan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:036,public_institutions,36,팔공산국립공원 · 대구/경북,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B25,,P · A · R1/R4 · P0,어린이/가족; 동일 필드,P · A · R1/R4 · P0,P · A · R1/R4 · P0,P0,implemented_opt_in,knps_palgongsan_trail_programs,"Shared KNPS public-list adapter; no detail, login, queue, or reservation call.",official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:037,public_institutions,37,국립중앙청소년수련원 · 충남 천안,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyc,,"Y: 공개 JSON 200, robots 허용, 신청 로그인, A, R1/R4, P0; center_cd=2",초등/청소년/가족/학교; 프로그램·운영/접수일·대상·정원·상태·전화,"Y: 공개 JSON 200, robots 허용, 신청 로그인, A, R1/R4, P0; center_cd=2","Y: 공개 JSON 200, robots 허용, 신청 로그인, A, R1/R4, P0; center_cd=2",P0,implemented_opt_in,kywa_central_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:038,public_institutions,38,국립평창청소년수련원 · 강원 평창,https://booking.kywa.or.kr/reservation/campReservationList.do?center=pnyc,,Y · A · R1/R4 · P0; center_cd=3,동일,Y · A · R1/R4 · P0; center_cd=3,Y · A · R1/R4 · P0; center_cd=3,P0,implemented_opt_in,kywa_pyeongchang_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:039,public_institutions,39,국립청소년우주센터 · 전남 고흥,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nysc,,Y · A · R1/R4 · P0; center_cd=4,초등/청소년/가족; 우주과학,Y · A · R1/R4 · P0; center_cd=4,Y · A · R1/R4 · P0; center_cd=4,P0,implemented_opt_in,kywa_space_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:040,public_institutions,40,국립청소년바이오생명센터 · 전북 김제,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyac,,Y · A · R1/R4 · P0; center_cd=6 (기관 사이트 별칭은 nybc),초등/청소년/가족; 생명과학,Y · A · R1/R4 · P0; center_cd=6 (기관 사이트 별칭은 nybc),Y · A · R1/R4 · P0; center_cd=6 (기관 사이트 별칭은 nybc),P0,implemented_opt_in,kywa_bio_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:041,public_institutions,41,국립청소년해양센터 · 경북 영덕,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyoc,,Y · A · R1/R4 · P0; center_cd=7,초등/청소년/가족; 해양,Y · A · R1/R4 · P0; center_cd=7,Y · A · R1/R4 · P0; center_cd=7,P0,implemented_opt_in,kywa_ocean_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:042,public_institutions,42,국립청소년미래환경센터 · 경북 봉화,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyfc,,Y · A · R1/R4 · P0; center_cd=8,초등/청소년/가족; 환경,Y · A · R1/R4 · P0; center_cd=8,Y · A · R1/R4 · P0; center_cd=8,P0,implemented_opt_in,kywa_future_environment_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:043,public_institutions,43,국립청소년생태센터 · 부산,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyec,,Y · A · R1/R4 · P0; center_cd=13,초등/청소년/가족; 생태,Y · A · R1/R4 · P0; center_cd=13,Y · A · R1/R4 · P0; center_cd=13,P0,implemented_opt_in,kywa_ecology_camp_programs,Whitelisted public camp-list facts; no application or payment endpoint.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:044,public_institutions,44,국립백두대간수목원 · 경북 봉화,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=2,,"A: SSR 200, 의미상 robots 404는 RFC 9309상 규칙 없음, 신청 로그인, 공개 목록 파서 실조회, R1/R4, P1",유아/초등/가족/단체; 접수·이용일·비용·대상·정원·상태,"A: SSR 200, 의미상 robots 404는 RFC 9309상 규칙 없음, 신청 로그인, 공개 목록 파서 실조회, R1/R4, P1","A: SSR 200, 의미상 robots 404는 RFC 9309상 규칙 없음, 신청 로그인, 공개 목록 파서 실조회, R1/R4, P1",P1,implemented_opt_in,koagi_baekdudaegan_education,Public list only; semantic robots 404 follows RFC 9309 no-rules handling.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:045,public_institutions,45,국립세종수목원 · 세종,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=3,,A · 공개 목록 파서 실조회 · R1/R4 · P1,동일,A · 공개 목록 파서 실조회 · R1/R4 · P1,A · 공개 목록 파서 실조회 · R1/R4 · P1,P1,implemented_opt_in,koagi_sejong_education,Public list only; semantic robots 404 follows RFC 9309 no-rules handling.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:046,public_institutions,46,국립한국자생식물원 · 강원 평창,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=4,,A · 공개 목록 파서 실조회 · R1/R4 · P1,동일,A · 공개 목록 파서 실조회 · R1/R4 · P1,A · 공개 목록 파서 실조회 · R1/R4 · P1,P1,implemented_opt_in,koagi_native_plants_education,Public list only; semantic robots 404 follows RFC 9309 no-rules handling.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:047,public_institutions,47,국립정원문화원 · 전남 담양,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=5,,A · 공개 목록 파서 · R1/R4 · P1; 신규 기관이라 빈 목록도 정상 상태로 취급,초등/가족/단체; 동일,A · 공개 목록 파서 · R1/R4 · P1; 신규 기관이라 빈 목록도 정상 상태로 취급,A · 공개 목록 파서 · R1/R4 · P1; 신규 기관이라 빈 목록도 정상 상태로 취급,P1,implemented_opt_in,koagi_garden_culture_education,Public list only; semantic robots 404 follows RFC 9309 no-rules handling.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:048,public_institutions,48,한국수목원정원관리원 통합검색 · 전국,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do,,A · 기관별 피드의 중복 탐지용 상위 목록 · R1/R4 · P1,전 기관; 동일,A · 기관별 피드의 중복 탐지용 상위 목록 · R1/R4 · P1,A · 기관별 피드의 중복 탐지용 상위 목록 · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:049,public_institutions,49,국립횡성숲체원 · 강원 횡성,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,"F: 정상 검색 폼에서 FA00001 선택, SSR/AJAX 200, robots 허용, 예약 로그인/대기 가능, B, R1/R4, P1",유아/초등/가족/단체; 프로그램·날짜·인원·장소·가격,"F: 정상 검색 폼에서 FA00001 선택, SSR/AJAX 200, robots 허용, 예약 로그인/대기 가능, B, R1/R4, P1","F: 정상 검색 폼에서 FA00001 선택, SSR/AJAX 200, robots 허용, 예약 로그인/대기 가능, B, R1/R4, P1",P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:050,public_institutions,50,국립장성숲체원 · 전남 장성,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00002 · B · R1/R4 · P1,동일,F · 기관 FA00002 · B · R1/R4 · P1,F · 기관 FA00002 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:051,public_institutions,51,국립칠곡숲체원 · 경북 칠곡,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00003 · B · R1/R4 · P1,동일,F · 기관 FA00003 · B · R1/R4 · P1,F · 기관 FA00003 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:052,public_institutions,52,국립청도숲체원 · 경북 청도,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00004 · B · R1/R4 · P1,동일,F · 기관 FA00004 · B · R1/R4 · P1,F · 기관 FA00004 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:053,public_institutions,53,국립대전숲체원 · 대전,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00005 · B · R1/R4 · P1,동일,F · 기관 FA00005 · B · R1/R4 · P1,F · 기관 FA00005 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:054,public_institutions,54,국립춘천숲체원 · 강원 춘천,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00006 · B · R1/R4 · P1,동일,F · 기관 FA00006 · B · R1/R4 · P1,F · 기관 FA00006 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:055,public_institutions,55,국립나주숲체원 · 전남 나주,https://www.sooperang.go.kr/rep/ari/selectPrgmRsrvtList.do?menuNo=1020000,,F · 기관 FA00007 · B · R1/R4 · P1,동일,F · 기관 FA00007 · B · R1/R4 · P1,F · 기관 FA00007 · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:056,public_institutions,56,국립기상박물관 · 서울,https://science.kma.go.kr/museum/education/education,,"K: SSR 200, 공개 목록, 일부 네이버예약, B, R1/R4, P1",유아/초등/가족; 기간·장소·대상·인원·비용·문의,"K: SSR 200, 공개 목록, 일부 네이버예약, B, R1/R4, P1","K: SSR 200, 공개 목록, 일부 네이버예약, B, R1/R4, P1",P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:057,public_institutions,57,국립대구기상과학관 · 대구,https://science.kma.go.kr/daegu/board/education,,K · B · R1/R4 · P1,유아/초등/가족/단체; 일정·대상·신청링크,K · B · R1/R4 · P1,K · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:058,public_institutions,58,국립전북기상과학관 · 전북 정읍,https://science.kma.go.kr/jbsci/education/program,,K · B · R1/R4 · P1,유아/초등/가족/단체; 일정·대상·장소·정원,K · B · R1/R4 · P1,K · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:059,public_institutions,59,국립밀양기상과학관 · 경남 밀양,https://science.kma.go.kr/miryang/program/cont1,,K · B · R1/R4 · P1,유아/초등/가족; 일정·대상·신청,K · B · R1/R4 · P1,K · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:060,public_institutions,60,국립충주기상과학관 · 충북 충주,https://science.kma.go.kr/chungju/program/cont1,,K · B · R1/R4 · P1,유아/초등/가족; 일정·대상·신청,K · B · R1/R4 · P1,K · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
public_institutions:061,public_institutions,61,국립충남기상과학관 · 충남 홍성,https://science.kma.go.kr/chungnam/html/education_01.php,,K · B · R1/R4 · P1,유아/초등/가족; 일정·대상·신청,K · B · R1/R4 · P1,K · B · R1/R4 · P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/public-institutions.md
